<RecentlyViewedMethods>
  <RecentlyViewedMethods>
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.label3_Click%28System.Object%2CSystem.EventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.RenameModule%28dnlib.DotNet.ModuleDefMD%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.SendMessage%28System.IntPtr%2CSystem.Int32%2CSystem.Int32%2CSystem.Int32%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.Form1_MouseDown%28System.Object%2CSystem.Windows.Forms.MouseEventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.label6_Click%28System.Object%2CSystem.EventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.pictureBox6_Click%28System.Object%2CSystem.EventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.textBox1_DragEnter%28System.Object%2CSystem.Windows.Forms.DragEventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.textBox1_DragDrop%28System.Object%2CSystem.Windows.Forms.DragEventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.pictureBox1_Click%28System.Object%2CSystem.EventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.textBox0_TextChanged%28System.Object%2CSystem.EventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.Core.Helper.CreateReturnMethodDef%28System.Object%2Cdnlib.DotNet.MethodDef%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.panel2_Paint_1%28System.Object%2CSystem.Windows.Forms.PaintEventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.Form1_Paint%28System.Object%2CSystem.Windows.Forms.PaintEventArgs%29" />
    <RecentMethod id="43edcb1f-3098-4a23-a7f2-895d927bc661%28Noisette%29-4D5A499E/M%3ANoisette.MainForm.%23ctor" />
  </RecentlyViewedMethods>
</RecentlyViewedMethods>
